GEO_ID,NAME,S1501_C01_016E,S1501_C01_018E,S1501_C02_018E
id,Geographic Area Name,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!Bachelor's degree or higher,Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!Bachelor's degree or higher
24001,"Allegany County, Maryland",8737,1489,17
24003,"Anne Arundel County, Maryland",80951,35128,43.4
24005,"Baltimore County, Maryland",114114,46947,41.1
24009,"Calvert County, Maryland",10206,3337,32.7
24011,"Caroline County, Maryland",4124,744,18
24013,"Carroll County, Maryland",18884,7351,38.9
24015,"Cecil County, Maryland",12637,3387,26.8
24017,"Charles County, Maryland",20406,6104,29.9
24019,"Dorchester County, Maryland",3858,845,21.9
24021,"Frederick County, Maryland",31512,13950,44.3
24023,"Garrett County, Maryland",3167,587,18.5
24025,"Harford County, Maryland",31283,12634,40.4
24027,"Howard County, Maryland",38792,24395,62.9
24029,"Kent County, Maryland",1940,753,38.8
24031,"Montgomery County, Maryland",133553,76337,57.2
24033,"Prince George's County, Maryland",133571,46642,34.9
24035,"Queen Anne's County, Maryland",5136,1796,35
24037,"St. Mary's County, Maryland",15453,5677,36.7
24039,"Somerset County, Maryland",3720,459,12.3
24041,"Talbot County, Maryland",3447,1170,33.9
24043,"Washington County, Maryland",19668,4177,21.2
24045,"Wicomico County, Maryland",12142,3550,29.2
24047,"Worcester County, Maryland",5092,1602,31.5
24510,"Baltimore city, Maryland",115551,52018,45
