GEO_ID,NAME,S1501_C01_018E
24001,"Allegany County, Maryland",1489
24003,"Anne Arundel County, Maryland",35128
24005,"Baltimore County, Maryland",46947
24009,"Calvert County, Maryland",3337
24011,"Caroline County, Maryland",744
24013,"Carroll County, Maryland",7351
24015,"Cecil County, Maryland",3387
24017,"Charles County, Maryland",6104
24019,"Dorchester County, Maryland",845
24021,"Frederick County, Maryland",13950
24023,"Garrett County, Maryland",587
24025,"Harford County, Maryland",12634
24027,"Howard County, Maryland",24395
24029,"Kent County, Maryland",753
24031,"Montgomery County, Maryland",76337
24033,"Prince George's County, Maryland",46642
24035,"Queen Anne's County, Maryland",1796
24037,"St. Mary's County, Maryland",5677
24039,"Somerset County, Maryland",459
24041,"Talbot County, Maryland",1170
24043,"Washington County, Maryland",4177
24045,"Wicomico County, Maryland",3550
24047,"Worcester County, Maryland",1602
24510,"Baltimore city, Maryland",52018
